pin,cdl_code,cdl_label,cdl_purity
0423100007,,,
2022400014,,,
0101100001,1.0,Corn,0.9662921348314607
0101100003,5.0,Soybean,0.9742857142857143
0101200002,1.0,Corn,0.9555555555555556
0101200006,1.0,Corn,1.0
0101200007,1.0,Corn,0.9644970414201184
0101200009,1.0,Corn,0.947075208913649
0101300002,1.0,Corn,0.6369426751592356
0101300005,1.0,Corn,0.9960629921259843
0101300006,1.0,Corn,0.9558823529411765
0101300007,5.0,Soybean,0.9775280898876404
0101300008,1.0,Corn,0.7954545454545454
0101400003,1.0,Corn,0.9587628865979382
0101400004,122.0,Other,0.35294117647058826
0101400007,1.0,Corn,0.973384030418251
0101400008,5.0,Soybean,0.9411764705882353
0101400009,5.0,Soybean,0.9540229885057471
0101400010,5.0,Soybean,0.9876543209876543
0102100001,1.0,Corn,0.9392265193370166
0102100002,5.0,Soybean,0.9666666666666667
0102100006,5.0,Soybean,0.9758620689655172
0102100007,5.0,Soybean,0.8404255319148937
0102200002,1.0,Corn,0.947945205479452
0102200003,5.0,Soybean,0.9705882352941176
0102300001,1.0,Corn,0.9548022598870056
0102300002,1.0,Corn,0.9722222222222222
0102300005,5.0,Soybean,0.99
0102300006,5.0,Soybean,0.9369369369369369
0102400001,1.0,Corn,0.9550561797752809
0102400002,5.0,Soybean,0.49444444444444446
0102400004,1.0,Corn,0.4774193548387097
0102400005,5.0,Soybean,1.0
0102400006,5.0,Soybean,1.0
0103100003,1.0,Corn,0.9603399433427762
0103200001,1.0,Corn,0.9662921348314607
0103200005,1.0,Corn,0.9881656804733728
0103200007,1.0,Corn,0.47575757575757577
0103300001,5.0,Soybean,0.96
0103300004,1.0,Corn,0.9523809523809523
0103400008,1.0,Corn,0.9452054794520548
0103400009,1.0,Corn,0.95
0103400011,124.0,Other,0.8478260869565217
0103400012,1.0,Corn,0.9850746268656716
0103400013,1.0,Corn,0.9420289855072463
0103400015,1.0,Corn,0.8888888888888888
0110100003,1.0,Corn,0.9421965317919075
0110100008,1.0,Corn,0.948905109489051
0110100010,5.0,Soybean,0.9583333333333334
0110200011,5.0,Soybean,0.9571428571428572
0110200012,1.0,Corn,0.9559471365638766
0110200013,5.0,Soybean,0.9510869565217391
0110200014,5.0,Soybean,0.8595505617977528
0110300007,1.0,Corn,0.9766536964980544
0110300008,1.0,Corn,0.8688524590163934
0110400001,5.0,Soybean,0.9805013927576601
0110400002,5.0,Soybean,0.903954802259887
0110400003,5.0,Soybean,0.9661016949152542
0111100003,5.0,Soybean,0.5052779732582688
0111200003,1.0,Corn,0.9653179190751445
0111200005,5.0,Soybean,0.9619565217391305
0111200006,5.0,Soybean,0.9565217391304348
0111400001,1.0,Corn,0.9972067039106145
0111400004,5.0,Soybean,0.9945945945945946
0111400005,5.0,Soybean,1.0
0111400006,1.0,Corn,0.96
0112100001,1.0,Corn,0.5027322404371585
0112100002,1.0,Corn,0.9890710382513661
0112100003,5.0,Soybean,0.9662921348314607
0112200007,1.0,Corn,0.9074074074074074
0112200008,1.0,Corn,0.9629629629629629
0112200009,5.0,Soybean,0.9176470588235294
0112200010,5.0,Soybean,0.9688581314878892
0112300002,1.0,Corn,0.9447513812154696
0112300003,1.0,Corn,0.9602272727272727
0112300004,5.0,Soybean,0.9491525423728814
0112300005,1.0,Corn,0.9888888888888889
0112400003,1.0,Corn,0.952112676056338
0112400004,1.0,Corn,0.9384615384615385
0112400005,1.0,Corn,0.9737991266375546
0113100002,5.0,Soybean,0.9848197343453511
0113100004,5.0,Soybean,0.9651162790697675
0113200003,1.0,Corn,0.9719887955182073
0113200011,5.0,Soybean,0.9664634146341463
0113300001,5.0,Soybean,0.9773371104815864
0113400003,5.0,Soybean,0.940959409594096
0113400004,5.0,Soybean,0.9052631578947369
0113400005,5.0,Soybean,0.9410112359550562
0114100003,1.0,Corn,0.9428571428571428
0114100006,5.0,Soybean,0.983177570093458
0114100009,1.0,Corn,0.5740740740740741
0114100010,5.0,Soybean,0.9302325581395349
0114200001,1.0,Corn,0.9388888888888889
0114200008,1.0,Corn,0.686046511627907
0114200011,5.0,Soybean,0.9672131147540983
0114200012,5.0,Soybean,0.9849624060150376
0114200013,1.0,Corn,0.7422680412371134
0114300002,1.0,Corn,1.0
0114300006,1.0,Corn,0.9294117647058824
0114300008,1.0,Corn,0.9626865671641791
0114400012,5.0,Soybean,0.9752650176678446
